資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260213,00645 ,4,223,2803074,5.60
20260213,00645 ,5,121,2209986,4.42
20260213,00645 ,6,104,2620534,5.24
20260213,00645 ,7,36,1271325,2.54
20260213,00645 ,8,21,982440,1.96
20260213,00645 ,9,28,2007856,4.01
20260213,00645 ,10,20,3153448,6.30
20260213,00645 ,11,7,1962001,3.92
20260213,00645 ,12,4,1920000,3.84
20260213,00645 ,13,3,2193345,4.38
20260213,00645 ,14,2,1932000,3.86
20260213,00645 ,15,2,9082000,18.16
20260213,00645 ,16,0,0,0.00
20260213,00645 ,17,10853,49997000,100.00
20260213,00646 ,1,42179,11972072,2.35
20260213,00646 ,2,33217,70860800,13.92
20260213,00646 ,3,6066,44726482,8.78
20260213,00646 ,4,2157,26920176,5.28
20260213,00646 ,5,1142,20335513,3.99
20260213,00646 ,6,1004,24870505,4.88
20260213,00646 ,7,466,16379599,3.21
20260213,00646 ,8,258,11718958,2.30
20260213,00646 ,9,436,30366522,5.96
20260213,00646 ,10,174,23404403,4.59
20260213,00646 ,11,56,15693231,3.08
20260213,00646 ,12,16,7974084,1.56
20260213,00646 ,13,14,9945428,1.95
20260213,00646 ,14,7,6433000,1.26
20260213,00646 ,15,25,187384227,36.81
20260213,00646 ,16,0,0,0.00
20260213,00646 ,17,87217,508985000,100.00
20260213,00647L,1,1336,216879,3.13
20260213,00647L,2,625,1280039,18.50
20260213,00647L,3,84,635206,9.18
20260213,00647L,4,27,350753,5.07
20260213,00647L,5,19,333459,4.82
20260213,00647L,6,13,358000,5.17
20260213,00647L,7,5,179000,2.58
20260213,00647L,8,3,139840,2.02
20260213,00647L,9,10,688000,9.94
20260213,00647L,10,4,582217,8.41
20260213,00647L,11,1,296000,4.27
20260213,00647L,12,0,0,0.00
20260213,00647L,13,1,733000,10.59
20260213,00647L,14,0,0,0.00
20260213,00647L,15,1,1123607,16.24
20260213,00647L,16,0,0,0.00
20260213,00647L,17,2129,6916000,100.00
20260213,00648R,1,92,14171,0.00
20260213,00648R,2,887,2377733,1.47
20260213,00648R,3,385,3242117,2.01
20260213,00648R,4,164,2190612,1.36
20260213,00648R,5,195,3690564,2.29
20260213,00648R,6,210,5562931,3.46
20260213,00648R,7,125,4549570,2.83
20260213,00648R,8,96,4544994,2.82
20260213,00648R,9,235,17450208,10.85
20260213,00648R,10,127,18072273,11.24
20260213,00648R,11,73,19991000,12.44
20260213,00648R,12,12,5873000,3.65
20260213,00648R,13,8,5842000,3.63
20260213,00648R,14,5,4828000,3.00
20260213,00648R,15,16,62458827,38.86
20260213,00648R,16,0,0,0.00
20260213,00648R,17,2630,160688000,100.00
20260213,00650L,1,253,46191,0.03
20260213,00650L,2,989,2487022,2.11
20260213,00650L,3,401,3313160,2.81
20260213,00650L,4,188,2492001,2.11
20260213,00650L,5,152,2859019,2.42
20260213,00650L,6,181,4768223,4.04
20260213,00650L,7,92,3359000,2.85
20260213,00650L,8,72,3384300,2.87
20260213,00650L,9,183,13258334,11.25
20260213,00650L,10,70,10051000,8.52
